,status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_and_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,other_debtors_or_guarantors,property,age_in_years,other_installment_plans,housing,creditability
938,0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,2063,... < 100 DM,... < 1 year,4,none,"car or other, not in attribute Savings account/bonds",30,none,rent,0
939,0 <= ... < 200 DM,60,existing credits paid back duly till now,education,6288,... < 100 DM,1 <= ... < 4 years,4,none,unknown / no property,42,none,for free,1
940,no checking account,24,critical account/ other credits existing (not at this bank),car (used),6842,unknown/ no savings account,1 <= ... < 4 years,2,none,building society savings agreement/ life insurance,46,none,own,0
941,no checking account,12,existing credits paid back duly till now,car (new),3527,unknown/ no savings account,... < 1 year,2,none,building society savings agreement/ life insurance,45,none,own,0
942,no checking account,10,existing credits paid back duly till now,car (new),1546,... < 100 DM,1 <= ... < 4 years,3,none,real estate,31,none,own,0
943,no checking account,24,existing credits paid back duly till now,furniture/equipment,929,unknown/ no savings account,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",31,stores,own,0
944,no checking account,4,critical account/ other credits existing (not at this bank),car (new),1455,... < 100 DM,4 <= ... < 7 years,2,none,real estate,42,none,own,0
945,... < 0 DM,15,existing credits paid back duly till now,furniture/equipment,1845,... < 100 DM,... < 1 year,4,guarantor,building society savings agreement/ life insurance,46,none,rent,0
946,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,car (new),8358,500 <= ... < 1000 DM,... < 1 year,1,none,"car or other, not in attribute Savings account/bonds",30,none,own,0
947,... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,3349,500 <= ... < 1000 DM,... < 1 year,4,none,unknown / no property,30,none,for free,1
948,no checking account,12,existing credits paid back duly till now,car (new),2859,unknown/ no savings account,unemployed,4,none,unknown / no property,38,none,own,0
949,no checking account,18,existing credits paid back duly till now,furniture/equipment,1533,... < 100 DM,... < 1 year,4,co-applicant,building society savings agreement/ life insurance,43,none,own,1
950,no checking account,24,existing credits paid back duly till now,radio/television,3621,100 <= ... < 500 DM,... >= 7 years,2,none,"car or other, not in attribute Savings account/bonds",31,none,own,1
951,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),business,3590,... < 100 DM,unemployed,3,none,"car or other, not in attribute Savings account/bonds",40,none,own,0
952,... < 0 DM,36,delay in paying off in the past,business,2145,... < 100 DM,4 <= ... < 7 years,2,none,"car or other, not in attribute Savings account/bonds",24,none,own,1
953,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),4113,500 <= ... < 1000 DM,... < 1 year,3,none,"car or other, not in attribute Savings account/bonds",28,none,rent,1
954,no checking account,36,existing credits paid back duly till now,furniture/equipment,10974,... < 100 DM,unemployed,4,none,"car or other, not in attribute Savings account/bonds",26,none,own,1
955,... < 0 DM,12,existing credits paid back duly till now,car (new),1893,... < 100 DM,1 <= ... < 4 years,4,guarantor,building society savings agreement/ life insurance,29,none,own,0
956,... < 0 DM,24,critical account/ other credits existing (not at this bank),radio/television,1231,... >= 1000 DM,... >= 7 years,4,none,building society savings agreement/ life insurance,57,none,rent,0
957,... >= 200 DM / salary assignments for at least 1 year,30,critical account/ other credits existing (not at this bank),radio/television,3656,unknown/ no savings account,... >= 7 years,4,none,building society savings agreement/ life insurance,49,stores,own,0
958,0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),radio/television,1154,... < 100 DM,... >= 7 years,2,none,real estate,37,none,own,0
959,... < 0 DM,28,existing credits paid back duly till now,car (new),4006,... < 100 DM,1 <= ... < 4 years,3,none,"car or other, not in attribute Savings account/bonds",45,none,own,1
960,0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,3069,100 <= ... < 500 DM,... >= 7 years,4,none,unknown / no property,30,none,for free,0
961,no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1740,... < 100 DM,... >= 7 years,2,none,real estate,30,none,rent,0
962,0 <= ... < 200 DM,21,delay in paying off in the past,car (new),2353,... < 100 DM,1 <= ... < 4 years,1,none,building society savings agreement/ life insurance,47,none,own,0
963,no checking account,15,existing credits paid back duly till now,car (new),3556,unknown/ no savings account,1 <= ... < 4 years,3,none,unknown / no property,29,none,own,0
964,no checking account,24,existing credits paid back duly till now,radio/television,2397,500 <= ... < 1000 DM,... >= 7 years,3,none,"car or other, not in attribute Savings account/bonds",35,bank,own,1
965,0 <= ... < 200 DM,6,existing credits paid back duly till now,repairs,454,... < 100 DM,... < 1 year,3,none,building society savings agreement/ life insurance,22,none,own,0
966,0 <= ... < 200 DM,30,existing credits paid back duly till now,radio/television,1715,unknown/ no savings account,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",26,none,own,0
967,0 <= ... < 200 DM,27,critical account/ other credits existing (not at this bank),radio/television,2520,500 <= ... < 1000 DM,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,23,none,own,1
968,no checking account,15,existing credits paid back duly till now,radio/television,3568,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",54,bank,rent,0
969,no checking account,42,existing credits paid back duly till now,radio/television,7166,unknown/ no savings account,4 <= ... < 7 years,2,none,building society savings agreement/ life insurance,29,none,rent,0
970,... < 0 DM,11,critical account/ other credits existing (not at this bank),car (new),3939,... < 100 DM,1 <= ... < 4 years,1,none,real estate,40,none,own,0
971,0 <= ... < 200 DM,15,existing credits paid back duly till now,repairs,1514,100 <= ... < 500 DM,1 <= ... < 4 years,4,guarantor,real estate,22,none,own,0
972,no checking account,24,existing credits paid back duly till now,car (new),7393,... < 100 DM,1 <= ... < 4 years,1,none,building society savings agreement/ life insurance,43,none,own,0
973,... < 0 DM,24,all credits at this bank paid back duly,car (new),1193,... < 100 DM,unemployed,1,co-applicant,unknown / no property,29,none,rent,1
974,... < 0 DM,60,existing credits paid back duly till now,business,7297,... < 100 DM,... >= 7 years,4,co-applicant,unknown / no property,36,none,rent,1
975,no checking account,30,critical account/ other credits existing (not at this bank),radio/television,2831,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",33,none,own,0
976,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,1258,500 <= ... < 1000 DM,1 <= ... < 4 years,3,none,"car or other, not in attribute Savings account/bonds",57,none,own,0
977,0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,753,... < 100 DM,1 <= ... < 4 years,2,guarantor,real estate,64,none,own,0
978,0 <= ... < 200 DM,18,delay in paying off in the past,business,2427,unknown/ no savings account,... >= 7 years,4,none,building society savings agreement/ life insurance,42,none,own,0
979,no checking account,24,delay in paying off in the past,car (new),2538,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",47,none,own,1
980,0 <= ... < 200 DM,15,all credits at this bank paid back duly,car (new),1264,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,building society savings agreement/ life insurance,25,none,rent,1
981,0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),furniture/equipment,8386,... < 100 DM,4 <= ... < 7 years,2,none,building society savings agreement/ life insurance,49,none,own,1
982,no checking account,48,existing credits paid back duly till now,business,4844,... < 100 DM,unemployed,3,none,"car or other, not in attribute Savings account/bonds",33,bank,rent,1
983,... >= 200 DM / salary assignments for at least 1 year,21,existing credits paid back duly till now,car (new),2923,100 <= ... < 500 DM,1 <= ... < 4 years,1,none,"car or other, not in attribute Savings account/bonds",28,bank,own,0
984,... < 0 DM,36,existing credits paid back duly till now,car (used),8229,... < 100 DM,1 <= ... < 4 years,2,none,building society savings agreement/ life insurance,26,none,own,1
985,no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,2028,... < 100 DM,4 <= ... < 7 years,2,none,building society savings agreement/ life insurance,30,none,own,0
986,... < 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,1433,... < 100 DM,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,25,none,rent,0
987,... >= 200 DM / salary assignments for at least 1 year,42,no credits taken/ all credits paid back duly,business,6289,... < 100 DM,... < 1 year,2,none,building society savings agreement/ life insurance,33,none,own,0
988,no checking account,13,existing credits paid back duly till now,radio/television,1409,100 <= ... < 500 DM,unemployed,2,none,real estate,64,none,own,0
989,... < 0 DM,24,existing credits paid back duly till now,car (used),6579,... < 100 DM,unemployed,4,none,unknown / no property,29,none,for free,0
990,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),radio/television,1743,... < 100 DM,... >= 7 years,4,none,building society savings agreement/ life insurance,48,none,own,0
991,no checking account,12,critical account/ other credits existing (not at this bank),education,3565,unknown/ no savings account,... < 1 year,2,none,building society savings agreement/ life insurance,37,none,own,0
992,no checking account,15,all credits at this bank paid back duly,radio/television,1569,100 <= ... < 500 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",34,bank,own,0
993,... < 0 DM,18,existing credits paid back duly till now,radio/television,1936,unknown/ no savings account,4 <= ... < 7 years,2,none,"car or other, not in attribute Savings account/bonds",23,none,rent,0
994,... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,3959,... < 100 DM,unemployed,4,none,building society savings agreement/ life insurance,30,none,own,0
995,no checking account,12,existing credits paid back duly till now,car (new),2390,unknown/ no savings account,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",50,none,own,0
996,no checking account,12,existing credits paid back duly till now,furniture/equipment,1736,... < 100 DM,4 <= ... < 7 years,3,none,real estate,31,none,own,0
997,... < 0 DM,30,existing credits paid back duly till now,car (used),3857,... < 100 DM,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,40,none,own,0
998,no checking account,12,existing credits paid back duly till now,radio/television,804,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",38,none,own,0
999,... < 0 DM,45,existing credits paid back duly till now,radio/television,1845,... < 100 DM,1 <= ... < 4 years,4,none,unknown / no property,23,none,for free,1
1000,0 <= ... < 200 DM,45,critical account/ other credits existing (not at this bank),car (used),4576,100 <= ... < 500 DM,unemployed,3,none,"car or other, not in attribute Savings account/bonds",27,none,own,0
